post_id,source,text,label
12122551_gab,gab,worst case looking path citizenship ones not violent felons meet criteria would entitle legal immigrant merit based system,normal
16918017_gab,gab,wonder faggot USER norway,offensive
26558540_gab,gab,fuck horseshoe faggot,offensive
16781658_gab,gab,atrocious fuck nigger bitch,hatespeech
17330056_gab,gab,dafuk ching chong gone deliver mah food wit dis snow heah shiet nigga best brang mah food,offensive
11758726_gab,gab,better call anti defamation league gay jew faggot,offensive
23290934_gab,gab,hell yeah proof anti q trolls fake alt right kike dick suckers,hatespeech
20864492_gab,gab,nice ghetto rims faggot,hatespeech
26240215_gab,gab,somebody posted dick pic account knee jerk muted un muting complaining gay porn twitter hoping intoxicated think better post delete,offensive
1178869912728567809_twitter,twitter,bro swear god fucking hate white girls little ugly ass maggots,hatespeech
19679152_gab,gab,good knock promoting fictional kike faggot jesus christ insanity perversion general,hatespeech
19966687_gab,gab,omfg still repeating fake news killer white supremacist rolling_on_the_floor_laughing USER hurled slurs blacks muslims according anti defamation league ties white supremacists,normal
1179051027187818498_twitter,twitter,filthy jet black nigga backstage full white bitches no not sell like macklemore got white privilege,hatespeech
12453277_gab,gab,ds not remove posts like weevs weevs post not illegal removes jidf faggots telling people kill cops n shit,offensive
1178416456238866437_twitter,twitter,biggest faggot not like sports,offensive
1213958396577304578_twitter,twitter,much gay subtext baby sitters vampire,offensive
14528971_gab,gab,feminism not set women free robbed dignity femininity gabfam gab,normal
22421440_gab,gab,hear phrase white privilege one time going opt come back next life black hispanic latino illegal muslim jewish faggot feminist queer gay lesbian dike transgender piece shit words everything not life,hatespeech
13922282_gab,gab,naxalt bullshit faggot mind sheep uses rule say no wolves yet attacked wolves eating sheep,offensive
8154294_gab,gab,people not let dislike illegal immigrants cloud judgment resent illegal immigrants not mean hate mexicans resentment visas issued foreign workers silicon valley people picking lettuce tomatoes,offensive
26137273_gab,gab,ffs everthing offensive muslimes,offensive
24119382_gab,gab,dumb spic not spell spaniard,hatespeech
1165451497330630656_twitter,twitter,two bros chillin hot tub five feet apart cus not gay,normal
21854608_gab,gab,niggaz fat good old days usually died heartattacks fitty crack cocaine chasing white women dat nigger found jesus guru,hatespeech
11060280_gab,gab,since shitlibs said iq moslem janitors world trade centers moslems would not attacked refusegee problem libya breivik understood not shoot water coming boat drilling holes hull,hatespeech
1179103603581243393_twitter,twitter,birds prey listening margot robbie talk like retarded white girl thinks drop n word time wants hours hard pass,offensive
22001731_gab,gab,deal mudslime baedophiles,hatespeech
12175596_gab,gab,ever notice women resemble,normal
22783429_gab,gab,obama shows mosque not let hes queer first phony muslim like hes phony american mussie not abide gays much proof well men,offensive
1170769_gab,gab,USER snerfbucket ima try call nigger,hatespeech
3525836_gab,gab,watching minutes lawlessness nigger hood rats chicago police dept given result percent increase homicides,hatespeech
1200983749174931456_twitter,twitter,USER USER shut faggot,offensive
1178419875586461696_twitter,twitter,USER faggot fucking slutty bitch drowning cum tall bunny not care,offensive
20581944_gab,gab,think gay gym would whatever equipment required work rear end,offensive
15618393_gab,gab,natural order apfrica men literally sit around women work look coffee shop minneapolis cities infested zoomalis bantus arabs see,hatespeech
1122838748612501504_twitter,twitter,sacred space shield shit bug bitches,offensive
21005747_gab,gab,jews comies nigz muzzies,hatespeech
25960592_gab,gab,well bill nye cuckservative faggot anyway,offensive
1178791106097664000_twitter,twitter,USER cus yall faggots face_vomiting,offensive
26656403_gab,gab,shock nigger turns nigger,hatespeech
27956816_gab,gab,says swamp muzzie fucks goats,hatespeech
12151236_gab,gab,white people need start caring kind instead bending backwards every jigaboo savage would gladly kill fun cell phone,hatespeech
16436197_gab,gab,choice cucknadians must choose retarded asshole globalist crypto muslim puppet communist parasite either way cucknada fucked,hatespeech
21546923_gab,gab,urgent questions parliament today telford not nervous nelly paki moslem child rape gangs part parcel etc etc,hatespeech
1178301216981504001_twitter,twitter,faggot ads niggas keep trying sabotage work b bitch ass poppies jehovah witnesses not control make fuck mother fuck abc news bitch ads tech assholes,hatespeech
1256299337644150785_twitter,twitter,USER nope gays,offensive
1179092084864753667_twitter,twitter,USER agree high chance white person saying,normal
27265236_gab,gab,meek mild c mon call faggot,hatespeech
5804553_gab,gab,lesson week holy book sovereign individual commerce flows internet suppression speech becomes unstoppable devolution inevitable monopoly violence governments end paraphrased j davidson rhys mogg,normal
26456409_gab,gab,watch bbc muslims abandoning eu syria father honestly says bcs not like girls told freewill supposedly educated pple bcs women islam sharia sharialaw realitycheck fgm misogyny hijab rapeculture abuse violence woman women girl girls womansrights womensrights brexit,normal
1271316699170529286_twitter,twitter,USER whatchu USER self hating homosexual pay homosexual desires,offensive
5646582_gab,gab,parade needed least one severed head honor muslim culture,hatespeech
6042008_gab,gab,look mudslime news europe think wish goat fucker would try shit louisiana get within feet daughters thats life checkout time mohammed,hatespeech
24304008_gab,gab,claire balding know raped niggas dyke,hatespeech
1178655780029042688_twitter,twitter,USER USER USER mother fucker white ass think black ass playing white asses wigger please dead ass no go ass would cancel show safe protect everyone asses town USER saving lives,offensive
12781022_gab,gab,force normies choose well dressed white men american flags smelly commie faggots soviet flags antifa attacks us scenario lose antifa not attack us lose,offensive
6978106_gab,gab,love jews say really feel,offensive
1178226486081286144_twitter,twitter,USER USER witnessed black teammates defend agree overtly racist white friend calling black dude nigger tried defend dude called nigger hated,normal
1076393735636758528_twitter,twitter,finstas gay,offensive
23737066_gab,gab,give us money women country right rape,offensive
15339737_gab,gab,no thing psychotic moron said scared women donct report rape somehow made wanting rapists go free said woman scared raped useless society one unhinged jackass,offensive
13909327_gab,gab,happy early birthday going alot antifa pussies going surprised real violence looks like coming men practiced art violence many years cure outbreaks tards,offensive
13063961_gab,gab,also faggot serial mudshark,hatespeech
10151749_gab,gab,USER welcome aboard land refugees p c culture p c want,normal
23669800_gab,gab,well not agree dinesh trump anyone really however right indeed populist right left establishment getting greedy using virtue signaling undermine others claim support ghetto pimping,offensive
21706524_gab,gab,white woman murdered muslim cop shitskin cop walks free no jail time,offensive
8212775_gab,gab,already hillary one crazy ass bitch many hope gets upset panties twist squeeze nuts,offensive
1178476858662215680_twitter,twitter,USER USER USER USER USER USER USER white people fought suffered ancestors freedom,normal
1090157360981536769_twitter,twitter,phoebe bridgers sociopath,normal
27305748_gab,gab,spick kids scratched parents car today whatever reason not call cops scared away,offensive
1179094095710568448_twitter,twitter,USER talking cosplayers like richie cosplayer took glasses would look like mike theyre white stranger things,normal
1177408103282688001_twitter,twitter,USER rbi put limits change make culprits pay must stop harassment depositors,normal
11947521_gab,gab,sure nigger loving whore sure,hatespeech
24436049_gab,gab,catching air happened christian school muslim dominated schools dearborn hamtramck see kids shoved around disciplined time according islamist rules without peep press,offensive
24643552_gab,gab,um lazy stupid nigger savages,hatespeech
17305899_gab,gab,trump scumbag former spic advisor pushed daca amnesty daca amnesty war,hatespeech
27058756_gab,gab,anti white feminist attacked violent shitskin promptly blames white men not saving not blame shitskin instead says needs help pity oh mention jewish shocking,hatespeech
1177943113794502657_twitter,twitter,USER not like called faggot due long hair feminine tendencies lot hey tall white woman hard fuck amiright,normal
13110414_gab,gab,boomer toughguy became object general loathing observing one train casually interacting sulking sheboon going way call one obsequious instance another,hatespeech
16274284_gab,gab,shockingly though western pakis indians get along quite well even though suppose hate personally not paki friends majority hate country anti semites conspiracy theorists,normal
1115608401839439872_twitter,twitter,yepper another day stupid yeah threaten eu tariffs piss everyone turn u shithole country,offensive
1178338068878778368_twitter,twitter,real niggas pussy faggots,hatespeech
10777127_gab,gab,fuck nasty bitch moslem dick,hatespeech
9468538_gab,gab,not single peep racist nigger obama nor vapid cunt hillary nor heeb bernie fuck,hatespeech
21868115_gab,gab,one nigger,hatespeech
1098473118127972352_twitter,twitter,careful thoes people always joking around not never serious,normal
6144966_gab,gab,right away nigger goes muh dik legal decorate city lampposts stupid animals,hatespeech
1174860386538909697_twitter,twitter,heejin hyunjin gay date singing abt boys love,normal
3686020_gab,gab,know sicker even possible happened white kid kidnapped chicago sick fucking people see anything else fucking brutal unacceptable hate crime fuck people like lemon worst reporter cnn,normal
13987009_gab,gab,debris settles dust gets swept young hwytes pick big left right kike magazines wrote west used internet something better jack,hatespeech
16385365_gab,gab,great wife beater dog stealer tryed suicide USER run like pussy soy antifa faggots forney agreement nehlen no,offensive
21168353_gab,gab,blacksketball owned black rules first put dunk stopped calling walking palming ball carrying ball college refs also calling ghetto playground basketball need new basketball league white people make rules,hatespeech
11675063_gab,gab,especially since claims gay man,normal
1177377270928957441_twitter,twitter,bears last lmaoo niggas team tho,normal
1178626145291358208_twitter,twitter,not surprised boris johnson made list surprised inch guy somehow no sexual harassment complaint sleeping go back modi,normal
1178702798063636481_twitter,twitter,USER yeah not agree horrible acts violence angela taking revenge queer person horrible bullies especially pedo carelessly shock sure also early much different rape revenge movies still look empowering,normal
27807123_gab,gab,cannot reasonable rd world retards low iq training perpetual victims predisposes violence killing trying kind reasonable retarded animals,offensive
12325945_gab,gab,gab closed social network impossible see posts without registering first good echo chamber unusable propaganda making statement change otherwise turn information ghetto reservation right wingers,normal
1118118013327355904_twitter,twitter,whoever posts fucking spoilers endgame catching fucking hands,normal
18596533_gab,gab,national capitalism no wanting people money hatespeech stop calling national capitalism jews decided political dissenters zionism call national socialists conservatives christians capitalists never listen,offensive
1203708372094267392_twitter,twitter,never let nigga no money disrespect ghetto woozy_face,offensive
11560882_gab,gab,haredi none haredi jews similar low math scores ashkenazi make israel population nope ashkenazi arent exception jews hybrid mongerels jews low q sand niggers no exceptions,hatespeech
1193988623185694721_twitter,twitter,USER man niggas got thin ass jackets shit loudly_crying_face,offensive
19030152_gab,gab,adios nigger lover,hatespeech
1176161132488339456_twitter,twitter,USER pretty gay bro,normal
13358006_gab,gab,deport unfunny fat kike ass back canadastan make america funny,hatespeech
12197351_gab,gab,white sharia shit not muslims not want fuck retarded idea,hatespeech
20139428_gab,gab,race social construct goy no difference see beautiful women nsfw,normal
23316721_gab,gab,post video showing shocking promotion violence south african eff jewtube still say promoting violence,offensive
1088888537909481472_twitter,twitter,love one bucket headed hoes no way,offensive
1179079505173860354_twitter,twitter,USER exactly many muslim countries ready accept muslim refugees,normal
1792851_gab,gab,kiwiposse USER wobh post suggests otherwise hate preacher radicalises muslim population tip population threshold cancer starts bite no matter reasonable eventually muslim ghettos foment radical islam,offensive
12651974_gab,gab,muslim privacy goat disgusting better not put picture try not imagine one either,hatespeech
20887656_gab,gab,yeah filthy little bone smoking kike,hatespeech
11805489_gab,gab,behind rohinya muzzie sob story http url,hatespeech
20597923_gab,gab,retarded even nigger standards,hatespeech
16388640_gab,gab,visited trip eng irl scotland saw ancient everything time think maybe get impatient allowing muzzies destroy place rich culture historic timelessness europe living museum respected,hatespeech
1179057379079380992_twitter,twitter,no madness shall take refugee bottle,normal
22249621_gab,gab,like points american whites japan south korea tbh happens hostile aliens control country watch eyeing south korea though since importation jungle asians poo loos occurring downlow,hatespeech
1178649567610511362_twitter,twitter,USER USER india one day muslim country muslims occupy india yes give rights minorities not worry make india muslim country one day,normal
5857792_gab,gab,dissent pact jews muslims rig towers thermite promising arabs usa return jew world order,offensive
27107089_gab,gab,niggers dindu not nuffin apes beyond obsolete farm equipment oh lemon monkey faggot USER,hatespeech
1179073627456774145_twitter,twitter,white bitch amber guyger locked away,normal
20028637_gab,gab,lol gross fuck seriously dont post shit cant stand sand nigger chicks unfollow,hatespeech
1090145948280459264_twitter,twitter,USER USER shut retard im going sleep dont anything dumb,offensive
1178896503240196097_twitter,twitter,fox news desperate change subject talking robert de niro got upset waiting ride full white privilege oh used good actor wow pitiful wtf tucker,normal
23085003_gab,gab,yeah not support corrupt multiculti globo homo military run corrupt government controlled jews no balls brilliant,hatespeech
23450643_gab,gab,shitskin goatfucker mosque think would arrested nope,hatespeech
1226181982562004992_twitter,twitter,nigga melly said get ssi check retarded fr rolling_on_the_floor_laughing,offensive
16825934_gab,gab,ghetto talk though basically meant degenerate stereotypical trashy woman,offensive
1098931568628977665_twitter,twitter,USER clearly fucking retard,offensive
12009892_gab,gab,kike,hatespeech
1179098553320386560_twitter,twitter,black ppl went white schools become annoying ass adults face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,normal
15979921_gab,gab,failed moslem terrorists not get virgins arse raped eternity big dindu nuffins bars soap use occasion,hatespeech
12933032_gab,gab,allow moslem filth brought begin right sovereign nation disallow anyone deem unworthy american coming,hatespeech
1234258840557936640_twitter,twitter,saying n word white means racist saying f word straight means homophobic idc u say,offensive
1178852610025111553_twitter,twitter,USER wow porch monkey ur mean,offensive
1179069022752645120_twitter,twitter,USER USER white men lie colonize nothing else,normal
25597752_gab,gab,think president brilliant women brainlets,offensive
1220935440951336960_twitter,twitter,USER USER islam makes fun stuff life forbidden haram sucks unamused_face,offensive
1088873336657059841_twitter,twitter,USER yeah nazis,normal
1178802993304657922_twitter,twitter,USER except illegally part sounds like explanation based happens go court white cops dealing black people us concerned nothing illegal,normal
1178629960837275649_twitter,twitter,hate faggots person_shrugging medium dark_skin_tone male_sign,hatespeech
1191806356191186944_twitter,twitter,btw say voting washington fucking dream every state,normal
25401380_gab,gab,used associating jews meant good accountant doctor extra dinner party mark calendar means fbi raids bdsm perversion soiled potted plants deep state coup attempts chosen fallen,normal
1178782818715000833_twitter,twitter,USER USER gotta go right something white ass cheeks drives crazy,normal
21689324_gab,gab,ppl views paki men muslim men rapping white uk girls,offensive
19307993_gab,gab,american women service waiting call deploy,normal
1178711725924855808_twitter,twitter,think point better set day like every th something people not get confused like blackout really taking notes niggers,hatespeech
19255529_gab,gab,makes want puke fucking tired moslem shite appeasement,hatespeech
15611789_gab,gab,well sleeping beauty plan rewrite first cause never gave consent kissed prince left seriously fucked head bbc show sure black moslem like thor,normal
1183672_gab,gab,not see swedish problem usa flood us illegal immigrant assholes dna americans not sit well whole boot necks theory,offensive
1193293522142547968_twitter,twitter,USER hate,normal
18416152_gab,gab,lmao snow nigger fuming hard brought ebonics face_with_tears_of_joy rolling_on_the_floor_laughing face_with_tears_of_joy rolling_on_the_floor_laughing face_with_tears_of_joy rolling_on_the_floor_laughing face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy rolling_on_the_floor_laughing face_with_tears_of_joy rolling_on_the_floor_laughing lol future daughters homeboi,hatespeech
1179085198903914499_twitter,twitter,USER initially misread wearing dindu nuffin shirt,normal
12946173_gab,gab,oh wow never knew feminazi holy shit definitely not fit bill thought made word,offensive
13909479_gab,gab,lmao insert attempt insult works w new right kike worshipping cerno dick sucking gorilla vox pedo faggots,hatespeech
1178700179257614337_twitter,twitter,still nigga evolving doe,normal
20084998_gab,gab,want go back school get education poor colleges kike rip offs not satisfied life honestly no clue start pushing forward,hatespeech
1458687_gab,gab,retarded liberal friends panic lots crying gnashing teeth trump win love gabfam,offensive
19955302_gab,gab,would repatriate mongoloid negroids power moment giving negroid mongoloid many jews wanted slaves incentive leave gone,hatespeech
19607225_gab,gab,see nigger bich not see woman see turd wit brillohaid,hatespeech
17635175_gab,gab,well turns ann coulter another media whore shtick blind hatred toward hispanics truth god mercy not contradict righteousness demanded somewhere lefts lionization immigrants coulter hatred truth,offensive
26502494_gab,gab,nigger biches look like aunt jemima,hatespeech
1178431628923871232_twitter,twitter,acts generation see st luke time god comes right immediately find white devil people virtually literally spiritually running rampant like loose cannons running helter skelter everywhere like chickens heads removed,normal
1096132147054854144_twitter,twitter,either pick gimmick light skin bitch white boy profit never works,normal
19775212_gab,gab,probably obamas homosexual escapade morning,offensive
12737648_gab,gab,anything say lie nigger means black blax use becasue whites not give fuck blax like controlling whites,hatespeech
14993624_gab,gab,hey yankees please stop associate flamenco arabs associate rumba black music associate pre colombians latinos pretend africa orient pretend pioneers colons thanks,normal
1367527_gab,gab,USER completely respectable ladies enjoy couple honky tonks beverages nothing wrong wink,normal
1179096575462825991_twitter,twitter,USER USER everybody knows demo bot plan massive illegal alien voter fraud operation big recount mcimpeachment intended make illegal aliens mcangry enough mcvote jedi mind trick no workee oops,normal
1081407346574876672_twitter,twitter,seen niggas walking outside smoking hookah fiens,normal
9988900_gab,gab,long dead redneck friend mine discussing basketball said never seen nigger run fast unless tv arm,hatespeech
1179102721426763782_twitter,twitter,not stop thinking gay rats arthur hope good honeymoon,normal
22293015_gab,gab,joe biden words proof left resorts violence not like something said others tolerant left legal standpoint nonthreatening words never justification assault battery,normal
1178863310164447234_twitter,twitter,USER robbed serving looks robbed brooklyn museum tbh shows queer people stealing white cishet institutions,normal
1094042528024850433_twitter,twitter,USER lying atheistic communist jews hurting image people shanda,offensive
13501213_gab,gab,defensive nazi gonna come call name called nigger times count,normal
15764545_gab,gab,goodnight nigger lover lover,hatespeech
1142248599209816065_twitter,twitter,wait single people exist mean not every gay person taken face_screaming_in_fear,normal
16199191_gab,gab,called liberals called nazis msm mediacrats misapplication terms began vnw weathermen underground communists bill ayers bitch bernadine dohrn schooled frank marshall davis son obama fathered mudshark porn hoe,hatespeech
1178671623324540928_twitter,twitter,want jimmy kimmel one ate kids halloween candy videos instead halloween candy challenge suburban white parents call black kids knock door niggers,hatespeech
1178807678249918464_twitter,twitter,definition fr muslim persian mosolmān moslemān pl moslem ar clás muslim adj professes islamism religion muhammad u c adj,normal
1266414967085031432_twitter,twitter,USER soo like nazi,normal
1209188418472701952_twitter,twitter,hugs amp every akkian maa hod di salgay fans ki sonagachi ki item salman,normal
36GJS3V78VR66OSFZSCICZHGQ9YGJ9_nf_2,twitter,saying partake inktober fucking lie not time focus energy sometimes doodle bullshit maybe make full drawings,normal
20110393_gab,gab,kikes real problem pay refugees muslims leave uk france,hatespeech
1165033237149814789_twitter,twitter,nigga ynw melly never getting released,normal
1179049870633648129_twitter,twitter,USER USER USER not love america tanding tall straight spines unlike maga defend treason corruption dictatorship cover ups murder white supremacy misogyny racism homophobia list goes good always wins end,normal
17336541_gab,gab,USER jews fucking kike,hatespeech
1178669116200247298_twitter,twitter,muhummad muslim islam,normal
1161409387837235202_twitter,twitter,USER dude retarded fuck,offensive
24116289_gab,gab,USER fuck die fuckin lezzie nigger white hating cunt,hatespeech
27617010_gab,gab,want truth no reconciliation fuckers done lands must confess lied shitskins flooded lands destroy shitskins must told truth knew would fuck shit sent white lands,offensive
1179089934298185730_twitter,twitter,USER USER USER best man ultimate muslim shoe white ones doubly good reflective ones triply,normal
1178747350803550208_twitter,twitter,grandson homosexual love love big gay grandson,normal
1178921629180551168_twitter,twitter,USER interested role ship queer still going homosexuality essential though never one although transferable skills,normal
26089002_gab,gab,no not lie shithole great places niggers spics arabs live happy together without wypipo,hatespeech
