post_id,source,text,label,predicted,correct
1520595_gab,gab,USER given percent globalists top percent kikescum dictatorship ruling americans largely comprised jewfilth perverts criminals pace wikileaks powerful banking factions mostly ratfaced yids,hatespeech,normal,False
1187925752571973632_twitter,twitter,bigger hoops bigger hoe guy gas station,normal,offensive,False
3284473_gab,gab,USER trump acts like president obama acts like nigger street punk chicago clintons act like white trash spoiled crybabies sore losers,offensive,hatespeech,False
16787150_gab,gab,ricky much wish could possibility us however data since today proves blacks jews mestizos asians vote overwhelmingly democrats non whites vote overwhelmingly less freedom bigger govt gibs dat please explain,hatespeech,offensive,False
4873813_gab,gab,fuck coca cola not joke multicultural commercial featuring song america muslim immams head bags lyric god shed grace thee arabic really want us fucking dead,hatespeech,offensive,False
22575269_gab,gab,well least mudslimes occasionally get right could ramp million,offensive,hatespeech,False
1118303711950974976_twitter,twitter,anti nazi merch shit rules no matter context not buying anything swastika,normal,hatespeech,False
21749687_gab,gab,atomaweapon puny faggot trying big shit asking billshit questions dodge subject,hatespeech,offensive,False
1088243265210671104_twitter,twitter,niggas fake asl see none round,hatespeech,normal,False
12803910_gab,gab,wow think race nothing ghettos america think race not dictate behavior really think immigrants come want adopt white american heritage tearing monuments,hatespeech,offensive,False
1146251013822668800_twitter,twitter,USER USER ok give mestizos no welfare exchange free land like white immigrants huh,offensive,normal,False
1090741502320488448_twitter,twitter,know gays airpods gonna cheat,offensive,normal,False
1179093526098743296_twitter,twitter,haters high self esteem see lower try laughing metrying egotistic narcisstic ass fuck whether single not think life better mine deserve big fuck,offensive,hatespeech,False
4805316_gab,gab,white black gay black white black trump violence common media schools gov believe opposite,offensive,normal,False
1178873120804999169_twitter,twitter,pac said mfs fuck fuck u die slow mfs make sure kid not grow,normal,offensive,False
1178501413346906113_twitter,twitter,also vibe wigger calls white missionaries save lives non white children africa india ect race traitor actual h0m0,offensive,normal,False
11620676_gab,gab,read swedish facebook police not time arrest rapist raped year old girl despite knowing lives,offensive,normal,False
22425202_gab,gab,march lives protesters trash streets c gun control march similar environmental protests compare conservative dan bake sale left streets spic span gathered fort collins,hatespeech,offensive,False
1092441251776024576_twitter,twitter,white pink nasty locs w e wanna call yo wanna kick bitch,offensive,normal,False
1272930487011627010_twitter,twitter,fucking hate wokeoids bro legit subhuman degens,offensive,normal,False
4102150_gab,gab,USER resisted years along nubeans south sudan beautiful remarkable history resisting evil gotta tell u u read genesis story ishmael u see arabs today perfectly described,offensive,normal,False
1142263124092956672_twitter,twitter,whio wants slave dm slave gay sexting incest horny femboy trap,normal,offensive,False
1162576410982133760_twitter,twitter,USER watched two retarded th grade teachers retarded assholes,normal,offensive,False
1078150006979350528_twitter,twitter,turn dyke bike,offensive,hatespeech,False
1181975809361371137_twitter,twitter,USER hate reminiscing,offensive,normal,False
1176698116088766464_twitter,twitter,tweeting horny u amp high sex drive ghetto woozy_face,offensive,normal,False
1179017320016076800_twitter,twitter,dying hillbilly canton moms social media like yell son kill redneck bare hands chill sabrina gonna give stink eye drive cig place keep moving lmao,offensive,normal,False
21280190_gab,gab,dont like capitalism want socialism want national socialism also known socialism whites got africa jews imposed socialism blacks someone tries open business gets shot jews,offensive,hatespeech,False
19166441_gab,gab,would love see trump bring white women europe call refugees madness merkel lefties refugees rapist muslims bring baby boom american men tired fat women,hatespeech,offensive,False
1198222005511675905_twitter,twitter,not trying racist mmg rude especially arabs mabuk tu takyah cerita la dah mabuk blh pulak drive person_facepalming male_sign,offensive,normal,False
20318223_gab,gab,heeb fears muramasa,normal,hatespeech,False
1178929320527462401_twitter,twitter,saw porno black guy nicer butt white bitch beating not,normal,offensive,False
1179040165999726592_twitter,twitter,fuck police support fuck,normal,hatespeech,False
11145758_gab,gab,recognize mass immigration not politically possible battle intensify eventually spill political violence demographic balance shifts point even liberals start looking exits,normal,hatespeech,False
3999711_gab,gab,bringing pro sharia law immigrants like letting drunk driver take kids school bus like letting serial killer prison hope learned lesson,offensive,hatespeech,False
22888404_gab,gab,longest war american history stinkin thousand muzzies not wipe gen smedley butler war racket make sure cough tax bullshit farce throw jail,offensive,hatespeech,False
1172678157289304064_twitter,twitter,USER must admit term muzzies nags bothers guy nevertheless need serious mental adjustment,offensive,normal,False
4616422_gab,gab,bill deblasio ny told cnn jake tapper ok shield undocumented immigrants drive drunk federal authorities not lead negative outcome,normal,offensive,False
1179093281692700672_twitter,twitter,not blaming white people slavery kidnapping group people not happen jim crow segregation not happen mass incarceration brown black people not happen,normal,offensive,False
1179014958367031298_twitter,twitter,laughed disrespected peers stop talking couple times apparently not good ugly ching chong chang excuse wtf done everyone stupid comments love,offensive,hatespeech,False
21248269_gab,gab,USER muslim umma fuckers muslim halal facebook not reliable must website social networking far powerfrul muslim halal facebook destroy coward muslim umma fuckers easily,hatespeech,normal,False
1143623359512625153_twitter,twitter,promise real place go high school fat queer kids could literally keep alive,normal,hatespeech,False
1122558468429352961_twitter,twitter,bitches broken hearts,normal,offensive,False
15909380_gab,gab,socialist dictator socialist feminist son whore space cadet spoiled bitch stuttering barky stuttering clusterfuck brown clown choom gangster chief color muslim community agitator crony elitist presy drama king execuitve infant face evil,hatespeech,offensive,False
12585712_gab,gab,detroit lions revoked season ticket holder tickets said nigger twitter insist players allowed express freely long expression jew approved gather nfl hates,offensive,hatespeech,False
3367166_gab,gab,USER fucking faggy kike oh yeah bill mitchell got well turned alt right yesterday well saying white genocide jq conspiracy theories,offensive,hatespeech,False
7166798_gab,gab,yeah also agree middle eastern ones coming mostly hungary refugees away mudslimes schengen regions bother applying refugee status move perfectly legal,offensive,normal,False
9206345_gab,gab,blm leadership disrupting lgbt events black militant muscle panthers guerilla family et al murdering whites cops knows street thugs burning looting probably jail moved prey white suburbs,hatespeech,normal,False
11678017_gab,gab,meantime jewish advocacy receives billions funding jews ok whites ooh better watch scam better not organise someone might kike,normal,hatespeech,False
1180765350025207808_twitter,twitter,david bowie allowed mean black woman drag queen san diego destroy career locked c prison camp,normal,offensive,False
5489191_gab,gab,not see people go camping wanted freeze balls shit bucket would sleep aunt house ghetto,hatespeech,offensive,False
9709951_gab,gab,called hijrah islamic migration sole purpose spreading islam,normal,offensive,False
14540497_gab,gab,emp generated via atomic explosion could created continent miles air fallout would likely stay space housing could available survive immigrants knows,normal,offensive,False
1143847627286556679_twitter,twitter,USER lets go gays,normal,offensive,False
14792974_gab,gab,star wars gay,normal,offensive,False
1082783411977150464_twitter,twitter,mfs really cheatin u w bitches look u amp dat copy errything u post,normal,offensive,False
14439827_gab,gab,bill clinton raped multiple women lied oath not single democrat voted remove office refuse accept claimed moral authority vote interests see fit regardless lies washington post chooses print,offensive,normal,False
1250295032092823564_twitter,twitter,USER sorry isabelle fucking retarded,hatespeech,offensive,False
18939950_gab,gab,remember subscribing youtube channel meant got videos sub feed click retarded bell else youtube curate videos sub feed without permission,normal,offensive,False
4025504_gab,gab,USER not consider anything presented evidence let alone irrefutable evidence continue diagree shifted argument jews pushing muslims holocaust af diary not win shift black woman,offensive,normal,False
1177687442725494787_twitter,twitter,USER loudly_crying_face loudly_crying_face loudly_crying_face okay cause mad fuck like niggers loudly_crying_face loudly_crying_face,offensive,normal,False
1103485105891434497_twitter,twitter,forgot steak damn sink person_facepalming medium light_skin_tone female_sign ion even wanna cook bitch,offensive,normal,False
12597139_gab,gab,french deserve either end dhimmi moslem slaves dead could anything stupid apart politicians running european countries france paris muslim islam islamofascism,normal,hatespeech,False
10328560_gab,gab,thinking creating based nigger trump hat twitter account get shit load followers fast act like discovered jews real shit see whose side normie conservatives take lol,normal,hatespeech,False
9709168_gab,gab,twitter use suspend got back id lost hundereds followers finally banned mebecaue muslim threatend potys reported busness fbi called home threatened bet still twitter,offensive,hatespeech,False
1087056935671586817_twitter,twitter,USER person gave maga hat child legal mexican immigrants,normal,offensive,False
9595444_gab,gab,stop caring arabs see militias cleaning house dearborn michigan,normal,offensive,False
1210935943395495938_twitter,twitter,USER fucking hate yzm face_with_tears_of_joy,offensive,normal,False
1179094894893240320_twitter,twitter,USER USER draws eyes hey service games come go month cycle retarded,normal,offensive,False
1078682709948620800_twitter,twitter,women love tellin half amp half tell tho face_with_tears_of_joy loudly_crying_face face_with_tears_of_joy loudly_crying_face face_with_tears_of_joy,offensive,normal,False
1083042797995941889_twitter,twitter,take drugs rape sluts,offensive,hatespeech,False
1252162171603124225_twitter,twitter,USER USER not migrants illegal immigrants makes criminals either lock deport,hatespeech,normal,False
7127905_gab,gab,yet another muslime nigger heard,offensive,hatespeech,False
8320068_gab,gab,baby black sheep baby whore baby gotten big baby getting bigger baby got baby want baby baby baby rock roll nigger,normal,hatespeech,False
12177462_gab,gab,means barry filled white house black muslim terrorists pro american whoa like kind trash logic,normal,hatespeech,False
1211623909918834688_twitter,twitter,USER fake pervert asshole raped dont stupid work study change life,hatespeech,offensive,False
1123884485081223169_twitter,twitter,girl jewa ke enged way twitter verification,normal,offensive,False
12777328_gab,gab,could update refugee law refugee kills someone people refugee country deported time happens double number deported country,offensive,normal,False
1109547724838457345_twitter,twitter,real nigger please,normal,hatespeech,False
6653253_gab,gab,money grown trees women would dating monkeys oh wait never mind,hatespeech,offensive,False
1239648273708826626_twitter,twitter,USER take care bitch wants die no regard health,offensive,normal,False
27715195_gab,gab,spic spic area shooter almost get fired little bit sexual harassment eyy mamasita joo bee lookin good nothing muds best deport,offensive,hatespeech,False
6710056_gab,gab,teacher asks class pakistan little johnny replies outside paki steve,normal,offensive,False
12155952_gab,gab,feel muslim whores need put burqa someone not accidentally not stone death,offensive,hatespeech,False
22340916_gab,gab,hopefully gets rid faggots dykes next,offensive,hatespeech,False
14054951_gab,gab,someone answer question tax payers still paying called obama phones low income ghetto rats,hatespeech,offensive,False
20162017_gab,gab,backpedaling fails point exactly comments resumes nonsensical aussie retarded babbles go choke cock useless wrinkly aussie slag th descendants bottom feeders among limeys loll,hatespeech,offensive,False
1862631_gab,gab,USER look video spencer not nazi salute audience spencer not responsible audience buying msm narrative,normal,offensive,False
1185235911853957126_twitter,twitter,nuke gay whale christ,normal,offensive,False
1179078926955683841_twitter,twitter,remembered renee lesbian dykes one,normal,offensive,False
1178398776916086784_twitter,twitter,musacchio suspended retard blame giampaolo,normal,offensive,False
8123704_gab,gab,jim_jordan want premiums come middle class working class families illegals welfare bums get asses get job pay damn way no refugees,hatespeech,normal,False
1079092016158593024_twitter,twitter,arsenal fucking small club lot noise makers called fans livars,offensive,normal,False
1179059458573512704_twitter,twitter,USER trump not care shithole countries,normal,offensive,False
1179097091089371137_twitter,twitter,extreme feminists always lesbian dykes trying guys anyway,hatespeech,offensive,False
8413358_gab,gab,meh likely digital version rent seeking racist kike slumlords son not rent white men white men insist plumbing works not rent brother deserves better ghetto,hatespeech,normal,False
20531142_gab,gab,starting think jews eyes,hatespeech,offensive,False
1221076528949272579_twitter,twitter,got everybody infiltrating negroes nicki minaj,normal,offensive,False
25552005_gab,gab,no not know muslim knife attacks nothing fo religion,offensive,normal,False
4630804_gab,gab,tsarnaev brothers remember sorry may know another title bostonbombers shocking also called refugees odds islamic muslim refugees commit terrorism people country taught hate gabfam maga americafirst islam,offensive,hatespeech,False
15770035_gab,gab,democratic party party jews jew causes minority mutts dumb white bitches appoint certain leadership positions puppets facade disguise real core purpose party study jewishprivilege really matters case conyers franken,hatespeech,offensive,False
20372433_gab,gab,blacks act manner far less likely involve getting shot peers call coons uncle toms people told not want listen,normal,hatespeech,False
1178774072563511298_twitter,twitter,ayo paging dr faggot got crying loudly_crying_face loudly_crying_face loudly_crying_face loudly_crying_face loudly_crying_face loudly_crying_face loudly_crying_face,normal,offensive,False
24907034_gab,gab,good might slow breeding homosexual muslims hate women,hatespeech,offensive,False
9802943_gab,gab,women would never lie sexually assaulted personal gain right feminists,offensive,normal,False
14602552_gab,gab,fully agree every personal interaction queers reinforces already knew severe mental illness obnoxious boot,hatespeech,offensive,False
10651361_gab,gab,pretty sure fought confederacy pretty sure party uses lincolns name endear coon black folks like USER USER party time celebrating people fought killed lol,hatespeech,normal,False
1179084859832180736_twitter,twitter,thought wtf fucking retarded,normal,offensive,False
17181962_gab,gab,per capita whites much better chinese besides think estimating much soy average chinaman actually eats,normal,offensive,False
13333968_gab,gab,several generations women utterly incapable making even simplest sandwich,offensive,normal,False
1178941558235783169_twitter,twitter,geschlecht macht herrschaft ubonn conference prof anne foerster gave paper ruling women made remarkable point single male rulers often criticized william rufus kingly authority require queen medieval twitter,normal,offensive,False
11553448_gab,gab,calling nigger gab not faze really impressed someone calls mooncricket,normal,hatespeech,False
10880498_gab,gab,proud heritage no nigger could ever make kind art no nigger ever come close half man general robert e lee,normal,hatespeech,False
24227903_gab,gab,hell shitty gab trolls calling people monkeys maybe kike freud right,offensive,hatespeech,False
15937202_gab,gab,could not even get attractive models wear retarded crayon scratching designs,normal,offensive,False
21359601_gab,gab,not know difference latino spic thinks authority also thinks smart thinking_face,offensive,hatespeech,False
1089932353349140481_twitter,twitter,USER forreal western countries fucking places immigrants expect shit cater,offensive,normal,False
9000541_gab,gab,seems london muzzies get taste medicine finsbury park,offensive,hatespeech,False
18195956_gab,gab,kick illegal immigrants not belong no business owe nothing,hatespeech,normal,False
1267061401597521920_twitter,twitter,USER chinaman eat,offensive,normal,False
19405861_gab,gab,really alex jones believes arabs israel need return jordan actually came two state solution israel jordan done done,normal,offensive,False
1178856299171373057_twitter,twitter,september waste no time ho came faster niggers,offensive,hatespeech,False
1224487307601858560_twitter,twitter,go court not campus pass ghetto persevering_face,normal,offensive,False
24790337_gab,gab,white people allowed kids raped pakis went running police not fathers job protect kids monsters day not ask anyone permission,offensive,hatespeech,False
18119502_gab,gab,perhaps men question prefer women not dress like streetwalkers,offensive,normal,False
1082113977751166977_twitter,twitter,niggah not nothing make cry girl dating onion,normal,offensive,False
1178130764405366784_twitter,twitter,USER nigga fucking called faggot said things,normal,offensive,False
9773208_gab,gab,always women trying shit like dingbat dingell joe manchin not single woman allowed serve congress,offensive,normal,False
27009967_gab,gab,paki muslim neighbour got job traffic warden said wrong mate unhappy people not hate enough,offensive,normal,False
11783332_gab,gab,hey army debtors economic refugees could flood continental interior th century first place know western frontier settlement etc know magic freedom capitalism scroll protects us stalin think,normal,offensive,False
1178551448197574656_twitter,twitter,USER shit crazy go unsaving niggers number putting right back baby doin much lol,normal,hatespeech,False
13395977_gab,gab,must lucky back days chasing poon found jewish women easy long pretended money,offensive,normal,False
16001308_gab,gab,swedish prime minister stefan löven condemns minor attack muslims synagogue gothenburg wants money holocaust propaganda harsh punishment antisemitism swedes murdered raped years without saying word shekel good goy,offensive,normal,False
1178708857746591744_twitter,twitter,gym muscle faggots not spend time rushing homophobes,offensive,hatespeech,False
21690630_gab,gab,look forward days women support teaming homestead mother teachers take back education instilled no hating white,offensive,normal,False
1178650245523218432_twitter,twitter,day today gym game mattball cause retarded ass,normal,offensive,False
1179076651834957825_twitter,twitter,USER would pressed bitch beat faggot,hatespeech,offensive,False
1178888096839950336_twitter,twitter,rae accent fuckin magical lil hillbilly country babe,normal,offensive,False
1117300455409741825_twitter,twitter,split like twix smoking zkittles high bitch,normal,offensive,False
15002888_gab,gab,even stuck two white babies like inside oreo cookie,offensive,normal,False
1087172044159152129_twitter,twitter,really think airpods overrated tried no bass hoes skull,normal,offensive,False
18352124_gab,gab,token astronauts jeanette epps negress replaced mexican chic x feed fish sally ride lesbian quota affirmative action segregation hbcu,offensive,hatespeech,False
18796136_gab,gab,ultimate anti muslim weapon muslim killed women means no virgins heaven armed kurdish women brigades caused fear running isis syria time sisters take control destiny human race,offensive,normal,False
1178796149106515968_twitter,twitter,USER USER know valerie planet apes jarrett barack porch monkey obanger rented apartment across street pennsylvania boulevard called wiretap,hatespeech,normal,False
13102768_gab,gab,million white christian south africans kike gruesomly genociding million peacefull european white minority today million left still going strong alt right white brothers sisters,hatespeech,normal,False
1179096960537632768_twitter,twitter,listening right man callers morons hillbilly voice switched aj hinch bill brien would texans well good lord,normal,offensive,False
5569627_gab,gab,swear ever die someday sorry son bitch votes democrat behalf comeback slash motherfucker,offensive,normal,False
1079795475560218626_twitter,twitter,USER USER treat immigrants drug traffickers soon change mind thumbs_up,offensive,normal,False
1179081870665031680_twitter,twitter,amma get shadow keep join faggots,offensive,hatespeech,False
1178792037300211713_twitter,twitter,faggots really overhype anything kim petras good songs halloween songs rest kinda trash nauseated_face not wait listen turn light tho omg,offensive,normal,False
2547072_gab,gab,USER uninformed post regarding lesbian comment absolutely no evidence michael moore likes women,offensive,normal,False
19824299_gab,gab,democrats forever partyofslaves ever obstruct keep chains housenigger pimped whores keep ghetto complacent slaveryisfreedom,hatespeech,offensive,False
1179074111076814848_twitter,twitter,USER lmao face_with_tears_of_joy eses charged money fuck white folk lmao,offensive,normal,False
1178307077338329088_twitter,twitter,USER USER son died dementia age three currently amidst killing self stanky ass booty pic ching chong ass would make life much better rn,normal,offensive,False
20685925_gab,gab,guess get complacent forget not everyone lives florida heard names anyone talk real life situation knows course anyone talk agreement liberals rats muzzies concerned,hatespeech,offensive,False
1179042623258058752_twitter,twitter,not anything islam else really matters,normal,offensive,False
11802249_gab,gab,idea europe send refugees caribbean help rebuild hurricane irma damaged islands let show compassionate thousands miles away,normal,hatespeech,False
1144477259425730560_twitter,twitter,USER also no mentions threats immigrants present citizens screw israel,offensive,normal,False
4587876_gab,gab,go public beaches see beautiful young women tiny swimsuits yet somehow managed never rape anyone difference americans islamists apparently,hatespeech,normal,False
1183369366903152641_twitter,twitter,USER ffs ghetto blacks ignorant like cracker mountain hillbillies,hatespeech,offensive,False
1165738563876659206_twitter,twitter,saw phillies flag front porch black ribbon tied,normal,hatespeech,False
1261659830709678086_twitter,twitter,USER USER believe women unless raped democrat destroy victim costs,hatespeech,normal,False
10147319_gab,gab,totalbiscuit mainly attacked sjws attacked first hysterical extremely aggressive terms looking quinnspiracy not going along narrative shares sjws views gender feminism etc slightly less retarded,offensive,normal,False
1179081620541841408_twitter,twitter,USER white delegation waived white devil woman,offensive,normal,False
1187745116464832515_twitter,twitter,even noon yet niggas lying,normal,offensive,False
6136882_gab,gab,gta san andreas story average somewhat talented black man escapes ghetto becomes reasonably successful dragged back final act brother stubborn dumbass _,normal,offensive,False
1211099588351778816_twitter,twitter,single shit ghetto fuck,normal,offensive,False
4101820_gab,gab,USER raped assholes cathy obrian came years ago,offensive,normal,False
18566494_gab,gab,faggot ass looking shit man could wear bet ya sumbitch dons bs packing man purse,hatespeech,offensive,False
25938675_gab,gab,gonna go back later getting started better rummage closet find dancing shoes bitch boy not done long shot,offensive,normal,False
21622146_gab,gab,well said lord pearson looking millions rapes white sikh girls communities muslim men convicted since talk islam without accused hate crime lord pearson question house lords islamistheproblem,offensive,normal,False
1178827642511990784_twitter,twitter,would thought nigger ass would eating fucking california rolls lmao,normal,hatespeech,False
